feature,label,filename
"[-7.1255194e+02  3.0920193e+01  2.7809911e+00  1.3824622e-02
  9.0481764e-01  9.3837948e+00 -1.4923248e+00  1.1691360e+00
 -3.8335707e+00  7.8985560e-01 -1.1406534e+00  3.0922228e-01
 -2.8699358e+00  2.8918853e+00 -2.5905547e+00  6.8724114e-01
  7.6500821e-01  3.1275961e-01 -3.0074888e-01  9.9367368e-01
 -7.1647125e-01  2.1964993e+00  9.5511019e-01 -4.6250895e-01
 -5.0167763e-01  1.3570791e+00 -5.1754379e-01  6.9783646e-01
  5.0099283e-01  6.6035199e-01 -2.5007555e-01  9.6364729e-02
 -3.3092415e-01 -1.6707227e-02  1.0189645e+00  1.3354723e+00
  2.0177960e+00  1.1475245e+00  1.2820331e+00  4.3854138e-01]",cough,2-98676-A-24.wav
"[-3.0734671e+02  5.4572212e+01 -6.7753873e+00 -5.4096761e+00
 -1.0069929e+01  1.2019210e+01 -1.0094115e+01 -4.9069633e+00
 -1.1926729e+01 -7.1004329e+00 -9.6455803e+00  3.8906221e+00
 -1.0714730e+01 -2.4968126e+00 -3.4675055e+00  1.1257341e+00
 -8.6647501e+00 -7.9342848e-01 -1.9575707e+00 -2.6596396e+00
 -3.4472926e+00 -1.7044731e+00 -3.3279531e+00 -2.5018620e-01
 -2.5778365e+00 -2.3908051e-02  9.5451057e-01  3.6158891e+00
  1.1754934e+00  4.2338676e+00  2.3241270e+00  2.1681690e+00
 -5.8992594e-01  2.0139072e+00  1.6953386e+00  1.5252177e+00
 -8.1292850e-01  1.6627723e+00  1.8902749e-01 -1.9034684e+00]",cough,5-184871-A-24.wav
"[-4.4060336e+02  8.3020653e+01  2.1862593e+01  1.9660618e+01
  1.4577714e+01  9.4952755e+00  5.6409993e+00  1.0613093e+01
  5.7079277e+00  6.6909699e+00  4.5188084e+00  4.3233624e+00
  3.7672379e+00  5.5145040e+00  1.9798052e+00  5.6817784e+00
  3.9124038e+00  2.0791032e+00  3.5387874e+00  2.5439854e+00
  2.5380245e-01  2.0866868e+00  2.1833773e+00  2.2568762e+00
  5.3962123e-01  2.2786410e+00  7.5382334e-01  1.3749613e+00
  3.1710603e+00  1.7536093e+00  1.2118793e+00  2.4080434e+00
  2.5958421e+00  1.5242643e+00  1.6923444e+00  1.4708521e+00
  6.8851441e-01  8.8325983e-01  9.9255806e-01  9.9574047e-01]",cough,2-85292-A-24.wav
"[-4.4437573e+02  7.0005486e+01  1.9879241e+00  1.7715611e+01
  9.4699697e+00  1.5071203e+01  9.3471473e-01  2.3346929e-01
 -8.2321053e+00  6.2635608e+00 -2.8355396e+00  2.8942552e+00
  3.2541194e+00  1.0351525e+01  4.5120001e+00  5.3269610e+00
  1.1763355e+00  6.8734369e+00  2.1745138e+00  1.9359275e+00
  5.1653571e+00  5.5863414e+00  3.1270216e+00  3.7357275e+00
  6.9135194e+00  5.1347933e+00  2.0835292e+00  3.7993560e+00
  3.4384251e+00  1.2830633e+00  3.5477831e+00  2.2748086e+00
  1.7670766e+00  3.6620069e+00  3.6628797e+00  3.3306150e+00
  3.2372890e+00  3.2684653e+00  3.9615209e+00  2.6589971e+00]",cough,3-142604-A-24.wav
"[-3.5186530e+02  7.0799850e+01 -1.7100191e+01 -2.4294312e+00
 -1.7479510e+00  1.0834191e+01 -3.2020507e+00  4.0200990e-01
 -2.2573265e+01 -8.0686178e+00 -7.9873629e+00 -3.4955475e-01
 -1.1500436e+01 -7.0563850e+00 -7.1061611e+00 -4.3295550e+00
 -9.1252470e+00 -4.6668119e+00 -4.1162810e+00 -7.4277234e+00
 -9.2473259e+00 -3.9231613e+00 -4.7327685e+00 -9.4746852e-01
  6.7898184e-01 -2.6980047e+00  7.9478301e-02  3.7605479e+00
 -1.3440566e+00  1.2657747e+00  1.0103486e+00 -9.9375266e-01
 -1.8179361e+00  3.0162776e-01 -3.4030776e+00  9.7255051e-01
 -1.9302530e+00 -2.3618503e+00 -2.5649748e+00 -2.2231414e+00]",cough,2-123896-A-24.wav
"[-5.39087219e+02  1.74908791e+01 -1.23629465e+01  3.75365543e+00
 -1.52414680e+00 -1.76583612e+00 -3.61702532e-01  1.15072811e+00
 -5.61856508e+00  3.46274829e+00 -2.43696973e-01  4.70209479e-01
 -1.72472298e+00  7.44710445e-01 -1.26288903e+00  1.12013817e+00
 -2.68326712e+00  4.38747138e-01 -2.08414674e-01 -8.82704556e-01
 -2.08863676e-01  2.18447828e+00  5.33291586e-02  2.96345025e-01
  1.17206526e+00  1.86426550e-01 -8.65457058e-01  6.15066528e-01
 -8.06844473e-01  2.89665163e-01 -5.70103002e-04  5.93868971e-01
  2.10548371e-01 -1.43795326e-01  5.67268610e-01 -2.42707953e-01
  2.02509880e-01 -6.05183661e-01  5.10584593e-01  3.10510509e-02]",cough,1-19111-A-24.wav
"[-5.11385040e+02  5.62496376e+01  5.36709356e+00  2.42244530e+00
  1.81105483e+00  8.50928974e+00  4.15069818e+00  1.17030325e+01
 -3.94035554e+00  8.52436066e+00  2.68048215e+00  3.57018995e+00
 -6.38129473e-01  1.29510441e+01  5.50660944e+00  4.79399633e+00
  6.18625879e+00  6.43350172e+00  2.20051289e+00  4.62184668e+00
 -1.26859713e+00  3.49724984e+00  1.98537111e+00  2.64845634e+00
  1.93782532e+00  4.26809931e+00 -2.94926763e-01  4.66697407e+00
  4.17221975e+00  1.19105828e+00  2.25497723e+00  6.23412561e+00
  1.20791578e+00  2.53423905e+00  1.93073285e+00  2.86659837e+00
  1.77386904e+00  2.25119209e+00  3.20770168e+00  3.21576238e+00]",cough,1-53663-A-24.wav
"[-4.84315186e+02  7.89115601e+01  7.00938320e+00  8.00926018e+00
  3.86491680e+00  5.11288691e+00 -2.08137584e+00  1.86969619e-02
 -3.70494246e+00 -1.98625660e+00 -6.60506296e+00 -1.20258816e-01
 -5.07429838e-01 -5.51846206e-01 -2.93798041e+00 -1.79259062e+00
 -3.11942792e+00 -1.09234059e+00 -3.90890098e+00 -1.95278394e+00
 -2.16976821e-01  4.11606789e-01 -7.29154944e-01 -1.68505535e-01
 -2.12551475e+00 -9.16788518e-01 -3.35220516e-01 -1.14104795e+00
 -4.46531713e-01 -7.23683596e-01 -1.11127651e+00  6.62593544e-01
  3.85734141e-01 -3.88938576e-01 -6.52037323e-01 -2.33115978e-03
  8.77566814e-01  1.54763114e+00  8.92245829e-01  6.76001787e-01]",cough,4-155650-B-24.wav
"[-5.3745764e+02  2.9971935e+01  1.7828993e-02  3.4872525e+00
 -7.5053787e-01  6.3094735e+00 -1.8413030e+00 -2.2493627e+00
 -9.6591387e+00 -2.9269657e+00 -3.9810355e+00 -1.9007453e+00
 -4.7988687e+00  3.8986645e+00 -2.9261870e+00 -1.7630404e+00
  4.3346047e-01 -1.3702009e+00 -6.4257532e-01  3.9150865e+00
 -2.1872466e+00  1.4146056e+00  1.3269091e+00  1.6759839e+00
  4.0146071e-01  6.9437914e-02  5.7497445e-02  1.2215116e+00
  1.5115868e+00  1.2505227e+00  2.4612567e+00  1.9773859e+00
  1.9226493e+00  1.7006686e+00  6.7918587e-01  1.7213778e+00
  9.9261083e-02  3.9157218e-01  3.7223780e-01  1.9926812e-01]",cough,3-146873-A-24.wav
"[-4.9535611e+02  5.1930672e+01 -8.8146505e+00  2.2883694e+01
  5.3468251e+00  1.1790106e+00 -4.5648447e-01 -3.8704371e+00
 -5.0625730e+00  7.8422503e+00 -1.1508187e+01  5.3074698e+00
  4.0541892e+00  1.3182571e+00  5.9031510e-01  8.9717836e+00
 -6.1433663e+00  2.0688584e+00 -6.2247143e+00  4.6748620e-01
 -3.9614763e+00 -3.9875851e+00 -3.7556622e+00 -2.3060322e+00
 -2.6932638e+00 -2.5425264e-01 -4.5317249e+00 -4.0054569e-01
 -5.0292051e-01 -1.0917233e+00 -2.2585158e+00 -8.6522591e-01
 -7.5938940e-01 -8.4012693e-01 -6.5980363e-01 -3.9777824e-01
  1.7655737e+00 -9.3106794e-01  2.3505317e-01 -1.0773419e+00]",cough,1-52323-A-24.wav
